id,id.type,type.label
Jungle Cruise,1,1971
Swiss Family Treehouse,1,1971
Walt Disney's Enchanted Tiki Room,1,1971
Cinderella Castle,1,1971
Dumbo the Flying Elephant,1,1971
“it's a small world”,1,1971
Mad Tea Party,1,1971
Peter Pan's Flight,1,1971
Prince Charming Regal Carrousel,1,1971
Country Bear Jamboree,1,1971
Frontierland Shootin' Arcade,1,1971
The Hall of Presidents,1,1971
Haunted Mansion,1,1971
Liberty Square Riverboat,1,1971
Main Street Vehicles,1,1971
Walt Disney World Railroad,1,1971
Tomorrowland Speedway,1,1971
Pirates of the Caribbean,2,1973
Tom Sawyer Island,2,1973
Astro Orbiter,3,1974
Space Mountain,4,1975
Tomorrowland Transit Authority PeopleMover,4,1975
Walt Disney's Carousel of Progress,4,1975
Big Thunder Mountain Railroad,5,1980
Splash Mountain,6,1992
The Barnstormer,7,1996
Buzz Lightyear's Space Ranger Spin,8,1998
The Many Adventures of Winnie the Pooh,9,1999
The Magic Carpets of Aladdin,10,2001
Mickey's PhilharMagic,11,2003
Stitch's Great Escape,12,2004
"Monsters, Inc. Laugh Floor",13,2007
Casey Jr. Splash 'N' Soak Station,14,2012
Enchanted Tales with Belle,14,2012
Under the Sea ~ Journey of the Little Mermaid,14,2012
Sorcerers of the Magic Kingdom,14,2012
A Pirate’s Adventure ~ Treasures of the Seven Seas,15,2013
Seven Dwarfs Mine Train,16,2014
